schema_name,table_name,columns
auth,audit_log_entries,"instance_id, id, payload, created_at, ip_address"
auth,flow_state,"id, user_id, auth_code, code_challenge_method, code_challenge, provider_type, provider_access_token, provider_refresh_token, created_at, updated_at, authentication_method, auth_code_issued_at, invite_token, referrer, oauth_client_state_id, linking_target_id, email_optional"
auth,identities,"provider_id, user_id, identity_data, provider, last_sign_in_at, created_at, updated_at, email, id"
auth,instances,"id, uuid, raw_base_config, created_at, updated_at"
auth,mfa_amr_claims,"session_id, created_at, updated_at, authentication_method, id"
auth,mfa_challenges,"id, factor_id, created_at, verified_at, ip_address, otp_code, web_authn_session_data"
auth,mfa_factors,"id, user_id, friendly_name, factor_type, status, created_at, updated_at, secret, phone, last_challenged_at, web_authn_credential, web_authn_aaguid, last_webauthn_challenge_data"
auth,oauth_authorizations,"id, authorization_id, client_id, user_id, redirect_uri, scope, state, resource, code_challenge, code_challenge_method, response_type, status, authorization_code, created_at, expires_at, approved_at, nonce"
auth,oauth_client_states,"id, provider_type, code_verifier, created_at"
auth,oauth_clients,"id, client_secret_hash, registration_type, redirect_uris, grant_types, client_name, client_uri, logo_uri, created_at, updated_at, deleted_at, client_type, token_endpoint_auth_method"
auth,oauth_consents,"id, user_id, client_id, scopes, granted_at, revoked_at"
auth,one_time_tokens,"id, user_id, token_type, token_hash, relates_to, created_at, updated_at"
auth,refresh_tokens,"instance_id, id, token, user_id, revoked, created_at, updated_at, parent, session_id"
auth,saml_providers,"id, sso_provider_id, entity_id, metadata_xml, metadata_url, attribute_mapping, created_at, updated_at, name_id_format"
auth,saml_relay_states,"id, sso_provider_id, request_id, for_email, redirect_to, created_at, updated_at, flow_state_id"
auth,schema_migrations,version
auth,sessions,"id, user_id, created_at, updated_at, factor_id, aal, not_after, refreshed_at, user_agent, ip, tag, oauth_client_id, refresh_token_hmac_key, refresh_token_counter, scopes"
auth,sso_domains,"id, sso_provider_id, domain, created_at, updated_at"
auth,sso_providers,"id, resource_id, created_at, updated_at, disabled"
auth,users,"instance_id, id, aud, role, email, encrypted_password, email_confirmed_at, invited_at, confirmation_token, confirmation_sent_at, recovery_token, recovery_sent_at, email_change_token_new, email_change, email_change_sent_at, last_sign_in_at, raw_app_meta_data, raw_user_meta_data, is_super_admin, created_at, updated_at, phone, phone_confirmed_at, phone_change, phone_change_token, phone_change_sent_at, confirmed_at, email_change_token_current, email_change_confirm_status, banned_until, reauthentication_token, reauthentication_sent_at, is_sso_user, deleted_at, is_anonymous"
public,audit_log,"id, user_id, action, resource_type, resource_id, old_data, new_data, ip_address, user_agent, created_at, tenant_id"
public,bulk_campaigns,"id, name, message_template, status, scheduled_at, total_recipients, sent_count, failed_count, created_by, group_id, gateway_id, created_at, updated_at, tenant_id"
public,campaign_recipients,"id, campaign_id, contact_id, phone, personalized_message, status, message_id, error_message, sent_at, created_at"
public,contacts,"id, phone, name, group_id, tags, created_at, updated_at, tenant_id"
public,group_memberships,"id, user_id, group_id, created_at"
public,groups,"id, name, kind, parent_id, created_at, updated_at, tenant_id, gateway_id, escalation_enabled, escalation_timeout_minutes, min_on_duty_count, description"
public,messages,"id, external_id, direction, from_number, to_number, body, status, gateway_id, contact_id, assigned_to, group_id, parent_message_id, metadata, created_at, updated_at, tenant_id"
public,on_duty_state,"user_id, is_on_duty, last_changed_at"
public,print_to_sms_jobs,"id, email_from, email_subject, pdf_url, extracted_phone, extracted_message, status, message_id, error_message, group_id, created_at, processed_at"
public,routing_rules,"id, name, priority, conditions, action, is_active, group_id, created_at, updated_at, tenant_id"
public,sms_gateways,"id, name, gateway_description, api_key, api_secret, sender_id, webhook_secret, is_active, group_id, created_at, updated_at, tenant_id, base_url, gw_phone"
public,tenant_settings,"id, tenant_id, timezone, business_hours_enabled, default_country_code, max_retry_attempts, message_retention_days, settings, created_at, updated_at, deleted_at"
public,tenants,"id, name, slug, status, created_at, updated_at, deleted_at"
public,user_profiles,"id, email, full_name, phone, role, group_id, created_at, updated_at, tenant_id, status, deleted_at"
public,whitelisted_numbers,"id, tenant_id, identifier, label, created_at, updated_at, deleted_at"
realtime,messages,"topic, extension, payload, event, private, updated_at, inserted_at, id"
realtime,schema_migrations,"version, inserted_at"
realtime,subscription,"id, subscription_id, entity, filters, claims, claims_role, created_at, action_filter"
storage,buckets,"id, name, owner, created_at, updated_at, public, avif_autodetection, file_size_limit, allowed_mime_types, owner_id, type"
storage,buckets_analytics,"name, type, format, created_at, updated_at, id, deleted_at"
storage,buckets_vectors,"id, type, created_at, updated_at"
storage,migrations,"id, name, hash, executed_at"
storage,objects,"id, bucket_id, name, owner, created_at, updated_at, last_accessed_at, metadata, path_tokens, version, owner_id, user_metadata"
storage,s3_multipart_uploads,"id, in_progress_size, upload_signature, bucket_id, key, version, owner_id, created_at, user_metadata"
storage,s3_multipart_uploads_parts,"id, upload_id, size, part_number, bucket_id, key, etag, owner_id, version, created_at"
storage,vector_indexes,"id, name, bucket_id, data_type, dimension, distance_metric, metadata_configuration, created_at, updated_at"
vault,secrets,"id, name, description, secret, key_id, nonce, created_at, updated_at"
